"codigo_de_referencia","sinopsis","descriptor_onomastico","descriptor_toponimico","descriptor_cronologico","tipo_de_produccion","genero","fuentes","recursos","versiones","formato_original","material_extra"
"MXIM-AV-1-7-5","La premisa de este documental es seguir los efectos del colonialismo de los indígenas africanos a través de varios rituales que estos desarrollaron a raíz del sistema colonial. (FILMAFFINITY)","","Ghana","","Película documental","","Grabación de campo","Puesta en escena, Narración en off, Conducción, Intertítulos","","",""
"MXIM-AV-1-7-6","La vida cotidiana de los pescadores de Fanti, en Ghana, y los rituales para la apertura de la temporada de pesca. (FILMAFFINITY) Mammy Water es un nombre pidgin para una diosa local del agua adorado por los pueblos Ibibio, Ijaw y Igbo del sureste de Nigeria. La diosa del agua tradicionalmente da riqueza, fertilidad, compensa las dificultades y se busca en tiempos de la enfermedad y necesidad, sobre todo por las mujeres. Sus diversos cultos son dirigidos, principalmente, por sacerdotisas. Este aclamado documental muestra numerosos rituales y ceremonias asociadas con la Mammy water, mientras que los devotos ofrecen comentarios. Esta es una representación importante de la fuerza de la religión tradicional en Nigeria contemporánea y una de las pocas investigaciones académicamente sonido del papel de la mujer en un movimiento espiritual africano.","","Nigeria","","Película documental","","Grabación de campo, Pinturas, Cartografía, Música de época","Narración en off, Conducción","","16 mm",""
"MXIM-AV-1-7-7","Cada día, jóvenes similares a los personajes de este film llegan a las ciudades de África. Han abandonado la escuela y el entorno familiar para intentar entrar en el mundo moderno. No saben hacer nada y hacen de todo. Es una de las enfermedades de las nuevas ciudades africanas, la juventud sin empleo. Esta juventud, enclavada entre la tradición y el maquinismo, entre el Islam y el alcohol, no ha renunciado a sus creencias, pero es seducida por los ídolos modernos del boxeo y del cine. Durante 6 meses he seguido a un pequeño grupo de jóvenes emigrantes de Níger en Treichville, suburbio de Abidjan, capital de Costa de Marfil. Les propuse rodar un film donde interpretasen su propio papel, donde tuviesen el derecho de hacer y decir lo que quisiesen\". Jean Rouch. (FILMAFFINITY)","Lemmi Caution, Edward G Robinson","Costa de Marfil, Treichville, Abidjan, Adjame, Niamey, Nigeria","1958","Película documental","","Grabación de campo, Testimonios orales","Narración en off, Conducción, Gráficos","","",""
"MXIM-AV-1-7-8","Doce años después de la Liberación y del descubrimiento de los campos de concentración nazis, Alain Resnais entra en el desierto y siniestro campo de Auschwitz. Lentos viajes en color sobre la arquitectura despoblada, donde la hierba crece de nuevo, alternan con imágenes de archivo (en blanco y negro, rodadas en 1944) que reconstruyen la inimaginable tragedia que sufrieron los prisioneros así como las causas y las consecuencias de esa tragedia: desde el advenimiento del nazismo y la deportación de los judíos hasta el juicio de Nuremberg. (FILMAFFINITY)","Himmles, Hittler, Burger, Stern, Schmulski, Anette, Steyer, Krupp, Heinckel, I. G. Farben, Siemmens, Herman Goering","Stutthof, Oranienburg, Neunengamme, Belzec, Bergen-Belsen, Ravensbruck, Auschwitz-Birkena, Dachau. Varsovia, Lodz, Praga, Bruselas, Atenas, Zagreb, Odessa, Roma, Pithiviers, Mauthausen, Buchenwald, Hartheim","1933, 1942, 1945","Película documental","","Grabación de campo, Registros fílmicos, Fotografías, Música de época, Documentos","Narración en off, Conducción, Gráficos","","",""
"MXIM-AV-1-7-9","Una breve revisión sobre los sistemas de transporte urbano público en México, durante el año de 1953. Interurbano Prensa era una editorial pequeña de propiedad privada estadounidense, especializada en libros sobre los tranvías, otras formas de ferrocarril de tránsito y ferrocarriles en América del Norte, a partir de 1943 hasta 1993. Cuando Ira Swett murió en 1975, dejó la compañía a su amigo y colaborador, G. Mac Sebree, que compartió el amor de Swett por el tema y había trabajado profesionalmente como periodista en Albuquerque y todavía estaba trabajando (hasta 1982) para United Press International. Sebree reorganizó la compañía como interurbano de Prensa y contrató compañero Jim Walker como su vicepresidente. En 1981, Interurbano adquirió los derechos de venta al ferrocarril y títulos de libros Trans anglo-americanos occidentales, otro Glendale-basada pequeña prensa Durante la década de 1980 la empresa también añadió vídeos y calendarios para su línea de productos, que se venden bajo la marca \"Interurbanos Films\".","","México: Tampico, Guanajuato, Cd. De México, Veracruz, Cuba: La Habana","","","","Grabación de campo, Cartografía, Música de época","Narración en off, Conducción, Gráficos","","",""
"MXIM-AV-1-7-10","Es una fascinante mirada a la vida cotidiana de los jóvenes de la clase obrera en la Gran Bretaña de la década de 1950. Este documental pionero - parte del movimiento Free Cinema - fue una de las primeras películas que dar a este sector de la comunidad una voz, y sigue siendo un importante e innovador trabajo.","","Londres","","Película documental","","Grabación de campo, Música de época","Narración en off, Conducción, Intertítulos","","",""
"MXIM-AV-1-7-11","El corto de 13 minutos comienza con una breve presentación de la ciudad vasca Guernica, y lo que representa históricamente, bombardeada en 1937, dejando dos mil muertos, todos civiles. Rápidamente se hace mención del suceso, balaceras, que lo alcanzan todo, están presentes en todo: la guerra, la destrucción, la muerte provocada sin piedad por los nazis durante el conflicto bélico más grande habido hasta ahora. De una manera muy interesante, deliciosa y a la vez sórdida, a la manera de Resnais, a la vez que nos narra los horrores de esos bombardeos, nos bombardea con dibujos e imágenes surrealistas, oscuras, así como retazos de la pintura de Picasso, recortes periodísticos de la época, narrando todas las atrocidades que tuvo que soportar la ciudad, conectando esas oníricas y surrealistas imágenes con versos que el poeta Paul Éluard compuso a la ciudad mártir. El corto está narrado primero por Jacques Pruvost, luego por la fría y absorbente voz de María Casarès, cuyo solemne relato realza la seriedad del corto, le brinda intensidad. En el final, tras hablar de la muerte, de los sueños y esperanzas rotas, el hombre se yergue, una figura humanoide resalta entre los escombros, y es que, después de todo, la esperanza se abre paso: la inocencia sobrevive al crimen.","Pablo Picasso","España: País Vasco: Vizcaya: Guernica","1902-1949. 26 de abril de 1937.","Documental","","Fotografías, Pinturas, Hemerografía, Música de época, Documentos","Animación, Narración en off, Intertítulos","","",""
"MXIM-AV-1-7-12","Resnais analiza en este cortometraje documental el proceso de fabricación de algo tan simple como utilísimo: los objetos de plástico. Un narrador habla sobre el estireno, el poliestireno y sus propiedades, así como de donde viene, qué se fabrica con él, y demás información. Todo ese comentario simpático y divertido en el que ese narrador rima el final de cada frase con la siguiente está escrito por el escritor francés Raymond Quenau.","","Francia","","Documental","","Grabación de campo, Música de época, Documentos","Narración en off, Conducción","","35 mm",""
"MXIM-AV-1-8-1","La llegada de una nueva alumna, Nadine, es el punto de partida de un análisis de las relaciones interraciales en un Liceo de Abidján en Costa de Marfil. Reunidos por Jean Rouch, los alumnos interpretan a su propio personaje en una \"ficción\" que se desarrolla a través de las nuevas relaciones entre blancos y negros, escenificando los lazos de amistad y las relaciones sentimentales. (FILMAFFINITY)","","","","Película documental","","Testimonios orales, grabación de campo, música de época","Narración en off, conducción, intertítulos","","1 dvd ",""
"MXIM-AV-1-8-2","Muestra a los niños de una barriada santafecina quienes, a riesgo de sus vidas, acuden para pedir monedas a los trenes que avanzan por un puente de dos kilómetros de largo. A través de una serie de entrevistas se denuncia la situación de abandono social al que son sometidos.","Juan de Garay","Argentina: Santa Fé, Mitre, Rosario, Buenos Aires, Bajos del salado, ","1573, 1956-1957-1958","Película documental","","Testimonios orales, grabación de campo, música de época","Narración en off, conducción, intertítulos","","VHS","1 dvd"
"MXIM-AV-1-8-3","El documentalista holandés Joris Ivens asociado al cine club que por ese tiempo funcionaba en la Universidad de Chile realiza este cortometraje de la ciudad de Valparaiso en Chile, mostrando el singular paisaje de un lugar que habita con un pie en el cerro y otro en el mar, anclada en un tiempo que desapareció luego de la apertura del Canal de Panamá, lo que congeló su existir de principal puerto del pacífico sur por aquel tiempo. Con perfecto ritmo visual y hermoso relato realizado por otro grande como Chris Marker, este documental busca mostrar las contradicciones y singularidades de una ciudad formada por marineros de todos lados del mundo (españoles, ingleses,franceses,etc), quienes luego de la apertura del Canal de Panamá dejan una ciudad casi inmóvil al paso del tiempo, con una población que en la actualidad habita los mismas calles formadas un siglo atrás. (http://www.chilecomparte.cl/topic/928550-joris-ivens-a-valparaiso-1962-subtitulos/)","","","","Película documental","","Cartografía, pinturas, dibujos, grabación de campo, música de época","Narración en off, conducción, animación","","",""
"MXIM-AV-1-8-4","La filmografía oficial de Pelechian comienza con esta película titulada precisamente: El Principio. En ella se muestran los hechos históricos que cambiaron el curso de la historia del s. XX tras la Revolución de Octubre de 1917. A través del uso de fotografías, grabaciones de estudio y material de archivo y mediante un montaje totalmente experimental, Pelechian hace un retrato de la historia reciente, marcada por un extraordinario número de levantamientos y derramamientos de sangre. Más que un recuento de la historia de Rusia, se trata de una representación simbólica del movimiento revolucionario.","Lenin","Rusia","1917","Película documental","Footage","Registros fílmicos, Fotografías","Incidentales","","",""
"MXIM-AV-1-8-6","Leacock y Noel Parmentel Jr., descubrieron la convención de un jefe de la policía en Hawai y decidieron filmarlo. La policía lo mostró en una convención nacional para evidenciar su imagen pública ilustre. Más tarde, cuando la vio correr como un corto con MONTEREY POP se dio cuenta de que para la audiencia juvenil de esa película, su imagen no era lo que habían asumido. No se mostró en la siguiente convención: DA Pennebaker http://phfilms.com/index.php/phf/film/chiefs_1968/","","Waikiki Beach, Honolulu, O'ahu, Hawaii, USA","","Película documental","","Grabación de campo, Fotografías, Testimonios videorales","Incidentales","","",""
"MXIM-AV-1-8-7","Además de ser una encuesta sociológica, Rouch y Morin plantean en Chronique d'un été una reflexión muy similar a la llevada a cabo por la Nouvelle Vague. A lo largo de la película en la que los directores recogieron el día a día cotidiano de París, se puede apreciar como la reflexión entre los hombres y su tiempo está muy vinculada a la relación del hombre con el cine. Al final de la cinta, los directores recogen el momento en el que exhiben el material rodado ante sus protagonistas, los cuales ofrecen sus puntos de vista acerca de lo que han visto. (FILMAFFINITY)","Marceline, Morin, Daniel, Nadine, Madi, Angelo, Landry, Simone, Jacques, Marilou, Jean-Pierre, Regis, Raymond, Michel, Catherine, Sophie, Maxie","Paris, Francia,Camarga, Villenueve sur Lot, Renault, Africa,Clichy, Buttes Chaumont, Italia, Cremona, Argelia, Congo, Leopoldville, Costa de Marfil, Plaza de la Concordia, Renault, Saint Tropez","1960","Película documental","","Registros fílmicos, testimonios videorales, grabación de campo, entrevistas","Narración en off, incidentales","","VHS",""
